Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
Public Class,org.junit.platform.engine.UniqueId,26,1,1,79,0,13,18,,145
Public Class,org.junit.platform.engine.discovery.ClassSelector,14,1,1,44,0,13,9,,74
Public Class,org.junit.platform.engine.discovery.ClasspathResourceSelector,16,1,1,44,0,14,9,,91
Public Class,org.junit.platform.engine.discovery.ClasspathRootSelector,8,1,1,0,0,10,6,,50
Public Class,org.junit.platform.engine.discovery.DirectorySelector,10,1,1,0,0,11,8,,55
Public Class,org.junit.platform.engine.discovery.FilePosition,24,2,1,41,0,13,11,,90
Public Class,org.junit.platform.engine.discovery.FileSelector,12,1,1,22,0,12,9,,72
Public Class,org.junit.platform.engine.discovery.IterationSelector,17,1,1,33,0,15,9,,113
Public Class,org.junit.platform.engine.discovery.MethodSelector,30,1,1,61,0,17,20,,162
Public Class,org.junit.platform.engine.discovery.ModuleSelector,8,1,1,0,0,8,6,,49
Public Class,org.junit.platform.engine.discovery.NestedClassSelector,14,1,1,48,0,14,11,,81
Public Class,org.junit.platform.engine.discovery.NestedMethodSelector,22,1,1,37,0,16,19,,120
Public Class,org.junit.platform.engine.discovery.PackageSelector,8,1,1,0,0,8,6,,49
Public Class,org.junit.platform.engine.discovery.UniqueIdSelector,8,1,1,0,0,9,6,,49
Public Class,org.junit.platform.engine.discovery.UriSelector,8,1,1,0,0,9,6,,49
Public Class,org.junit.platform.engine.support.config.PrefixedConfigurationParameters,7,1,1,43,0,8,7,,33
Public Class,org.junit.platform.engine.support.descriptor.ClassSource,21,1,1,67,0,13,15,,85
Public Class,org.junit.platform.engine.support.descriptor.ClasspathResourceSource,14,1,1,50,0,10,10,,60
Public Class,org.junit.platform.engine.support.descriptor.CompositeTestSource,8,1,1,17,0,9,6,,36
Public Class,org.junit.platform.engine.support.descriptor.DemoClassTestDescriptor,3,1,2,33,0,10,3,,20
Public Class,org.junit.platform.engine.support.descriptor.DemoMethodTestDescriptor,4,1,2,33,0,11,3,,24
Public Class,org.junit.platform.engine.support.descriptor.DirectorySource,10,1,1,29,0,9,7,,44
Public Class,org.junit.platform.engine.support.descriptor.EngineDescriptor,2,1,2,0,6,5,2,,10
Public Class,org.junit.platform.engine.support.descriptor.FilePosition,22,2,1,45,0,12,10,,83
Public Class,org.junit.platform.engine.support.descriptor.FileSource,13,1,1,50,0,12,10,,58
Public Class,org.junit.platform.engine.support.descriptor.MethodSource,27,1,1,71,0,13,19,,116
Public Class,org.junit.platform.engine.support.descriptor.PackageSource,10,1,1,38,0,7,8,,39
Private Class,org.junit.platform.engine.support.discovery.EngineDiscoveryRequestResolution.DefaultContext,13,1,1,40,0,15,5,,53
Public Class,org.junit.platform.engine.support.discovery.EngineDiscoveryRequestResolverTests,4,1,1,0,0,10,2,,45
